measurement_id,wafer_id,step_id,parameter,value,unit,timestamp
187,166,5,cd_nm_post_etch,94.3513,nm,2025-10-19 18:58:00
188,166,6,residue_ppm,6.0184,ppm,2025-10-19 19:28:00
189,166,7,thickness_nm,297.7223,nm,2025-10-19 19:58:00
190,166,8,thickness_post_cmp_nm,281.1302,nm,2025-10-19 20:28:00
191,166,9,cd_nm,99.892,nm,2025-10-19 20:58:00
192,166,10,sheet_resistance_ohm_sq,25.5512,ohm/sq,2025-10-19 21:28:00
193,167,1,particle_count,11.9219,ct,2025-10-19 20:40:00
194,167,2,resist_thickness_nm,504.0967,nm,2025-10-19 21:10:00
195,167,3,cd_nm,98.9056,nm,2025-10-19 21:40:00
196,167,3,overlay_nm,-0.8519,nm,2025-10-19 21:40:00
197,167,4,cd_nm_post_dev,98.7116,nm,2025-10-19 22:10:00
198,167,5,etch_rate_nm_s,15.2113,nm/s,2025-10-19 22:40:00
199,167,5,cd_nm_post_etch,96.8806,nm,2025-10-19 22:40:00
200,167,6,residue_ppm,4.6977,ppm,2025-10-19 23:10:00
201,167,7,thickness_nm,299.4711,nm,2025-10-19 23:40:00
202,167,8,thickness_post_cmp_nm,285.5197,nm,2025-10-20 00:10:00
203,167,9,cd_nm,99.6739,nm,2025-10-20 00:40:00
204,167,10,sheet_resistance_ohm_sq,25.0833,ohm/sq,2025-10-20 01:10:00
205,168,1,particle_count,11.9229,ct,2025-10-20 00:50:00
206,168,2,resist_thickness_nm,484.7535,nm,2025-10-20 01:20:00
207,168,3,cd_nm,100.4079,nm,2025-10-20 01:50:00
208,168,3,overlay_nm,0.1245,nm,2025-10-20 01:50:00
209,168,4,cd_nm_post_dev,98.785,nm,2025-10-20 02:20:00
210,168,5,etch_rate_nm_s,14.9895,nm/s,2025-10-20 02:50:00
211,168,5,cd_nm_post_etch,94.8423,nm,2025-10-20 02:50:00
212,168,6,residue_ppm,5.888,ppm,2025-10-20 03:20:00
213,168,7,thickness_nm,300.5881,nm,2025-10-20 03:50:00
214,168,8,thickness_post_cmp_nm,283.5315,nm,2025-10-20 04:20:00
215,168,9,cd_nm,99.6918,nm,2025-10-20 04:50:00
216,168,10,sheet_resistance_ohm_sq,24.6249,ohm/sq,2025-10-20 05:20:00
217,169,1,particle_count,10.1004,ct,2025-10-20 05:23:00
218,169,2,resist_thickness_nm,506.0251,nm,2025-10-20 05:53:00
219,169,3,cd_nm,100.9236,nm,2025-10-20 06:23:00
220,169,3,overlay_nm,-1.1749,nm,2025-10-20 06:23:00
221,169,4,cd_nm_post_dev,99.3289,nm,2025-10-20 06:53:00
222,169,5,etch_rate_nm_s,15.5374,nm/s,2025-10-20 07:23:00
223,169,5,cd_nm_post_etch,94.1897,nm,2025-10-20 07:23:00
224,169,6,residue_ppm,3.6483,ppm,2025-10-20 07:53:00
225,169,7,thickness_nm,294.2008,nm,2025-10-20 08:23:00
226,169,8,thickness_post_cmp_nm,279.0638,nm,2025-10-20 08:53:00
227,169,9,cd_nm,99.3739,nm,2025-10-20 09:23:00
228,169,10,sheet_resistance_ohm_sq,24.7066,ohm/sq,2025-10-20 09:53:00
229,170,1,particle_count,10.4003,ct,2025-10-20 08:57:00
230,170,2,resist_thickness_nm,496.9496,nm,2025-10-20 09:27:00
231,170,3,cd_nm,100.4639,nm,2025-10-20 09:57:00
232,170,3,overlay_nm,2.3962,nm,2025-10-20 09:57:00
233,170,4,cd_nm_post_dev,99.701,nm,2025-10-20 10:27:00
234,170,5,etch_rate_nm_s,15.3661,nm/s,2025-10-20 10:57:00
235,170,5,cd_nm_post_etch,94.1738,nm,2025-10-20 10:57:00
236,170,6,residue_ppm,4.4549,ppm,2025-10-20 11:27:00
237,170,7,thickness_nm,297.5211,nm,2025-10-20 11:57:00
238,170,8,thickness_post_cmp_nm,278.0783,nm,2025-10-20 12:27:00
239,170,9,cd_nm,100.4437,nm,2025-10-20 12:57:00
240,170,10,sheet_resistance_ohm_sq,24.7686,ohm/sq,2025-10-20 13:27:00
241,171,1,particle_count,11.2261,ct,2025-10-20 13:08:00
242,171,2,resist_thickness_nm,497.6879,nm,2025-10-20 13:38:00
243,171,3,cd_nm,101.2594,nm,2025-10-20 14:08:00
244,171,3,overlay_nm,1.3438,nm,2025-10-20 14:08:00
245,171,4,cd_nm_post_dev,98.0583,nm,2025-10-20 14:38:00
246,171,5,etch_rate_nm_s,15.07,nm/s,2025-10-20 15:08:00
247,171,5,cd_nm_post_etch,94.2738,nm,2025-10-20 15:08:00
248,171,6,residue_ppm,3.8512,ppm,2025-10-20 15:38:00
249,171,7,thickness_nm,302.2004,nm,2025-10-20 16:08:00
250,171,8,thickness_post_cmp_nm,277.379,nm,2025-10-20 16:38:00
251,171,9,cd_nm,100.9211,nm,2025-10-20 17:08:00
252,171,10,sheet_resistance_ohm_sq,26.4685,ohm/sq,2025-10-20 17:38:00
253,172,1,particle_count,8.7051,ct,2025-10-20 16:45:00
254,172,2,resist_thickness_nm,494.016,nm,2025-10-20 17:15:00
255,172,3,cd_nm,98.0782,nm,2025-10-20 17:45:00
256,172,3,overlay_nm,-0.2578,nm,2025-10-20 17:45:00
257,172,4,cd_nm_post_dev,99.5202,nm,2025-10-20 18:15:00
258,172,5,etch_rate_nm_s,14.9456,nm/s,2025-10-20 18:45:00
259,172,5,cd_nm_post_etch,94.8854,nm,2025-10-20 18:45:00
260,172,6,residue_ppm,4.436,ppm,2025-10-20 19:15:00
261,172,7,thickness_nm,296.0852,nm,2025-10-20 19:45:00
262,172,8,thickness_post_cmp_nm,281.1244,nm,2025-10-20 20:15:00
263,172,9,cd_nm,100.2798,nm,2025-10-20 20:45:00
264,172,10,sheet_resistance_ohm_sq,25.4983,ohm/sq,2025-10-20 21:15:00
265,173,1,particle_count,10.851,ct,2025-10-20 20:52:00
266,173,2,resist_thickness_nm,498.2306,nm,2025-10-20 21:22:00
267,173,3,cd_nm,98.5861,nm,2025-10-20 21:52:00
268,173,3,overlay_nm,0.3679,nm,2025-10-20 21:52:00
269,173,4,cd_nm_post_dev,98.0815,nm,2025-10-20 22:22:00
270,173,5,etch_rate_nm_s,15.8263,nm/s,2025-10-20 22:52:00
271,173,5,cd_nm_post_etch,95.907,nm,2025-10-20 22:52:00
272,173,6,residue_ppm,5.1064,ppm,2025-10-20 23:22:00
273,173,7,thickness_nm,305.8962,nm,2025-10-20 23:52:00
274,173,8,thickness_post_cmp_nm,282.9862,nm,2025-10-21 00:22:00
275,173,9,cd_nm,101.6328,nm,2025-10-21 00:52:00
276,173,10,sheet_resistance_ohm_sq,25.4616,ohm/sq,2025-10-21 01:22:00
277,174,1,particle_count,8.8426,ct,2025-10-21 00:43:00
278,174,2,resist_thickness_nm,503.798,nm,2025-10-21 01:13:00
279,174,3,cd_nm,101.362,nm,2025-10-21 01:43:00
280,174,3,overlay_nm,-1.2992,nm,2025-10-21 01:43:00
281,174,4,cd_nm_post_dev,99.7301,nm,2025-10-21 02:13:00
282,174,5,etch_rate_nm_s,14.2627,nm/s,2025-10-21 02:43:00
283,174,5,cd_nm_post_etch,94.9449,nm,2025-10-21 02:43:00
284,174,6,residue_ppm,6.1488,ppm,2025-10-21 03:13:00
285,174,7,thickness_nm,299.774,nm,2025-10-21 03:43:00
286,174,8,thickness_post_cmp_nm,292.5974,nm,2025-10-21 04:13:00
287,174,9,cd_nm,99.7645,nm,2025-10-21 04:43:00
288,174,10,sheet_resistance_ohm_sq,24.1557,ohm/sq,2025-10-21 05:13:00
289,175,1,particle_count,14.584,ct,2025-10-21 04:50:00
290,175,2,resist_thickness_nm,496.3073,nm,2025-10-21 05:20:00
291,175,3,cd_nm,98.8337,nm,2025-10-21 05:50:00
292,175,3,overlay_nm,-2.318,nm,2025-10-21 05:50:00
293,175,4,cd_nm_post_dev,97.9189,nm,2025-10-21 06:20:00
294,175,5,etch_rate_nm_s,15.1494,nm/s,2025-10-21 06:50:00
295,175,5,cd_nm_post_etch,95.513,nm,2025-10-21 06:50:00
296,175,6,residue_ppm,3.7971,ppm,2025-10-21 07:20:00
297,175,7,thickness_nm,291.8291,nm,2025-10-21 07:50:00
298,175,8,thickness_post_cmp_nm,287.3242,nm,2025-10-21 08:20:00
299,175,9,cd_nm,97.8372,nm,2025-10-21 08:50:00
300,175,10,sheet_resistance_ohm_sq,25.4457,ohm/sq,2025-10-21 09:20:00
301,376,1,particle_count,12.0978,ct,2025-10-24 05:23:00
302,376,2,resist_thickness_nm,494.2496,nm,2025-10-24 05:53:00
303,376,3,cd_nm,99.4178,nm,2025-10-24 06:23:00
304,376,3,overlay_nm,2.1409,nm,2025-10-24 06:23:00
305,376,4,cd_nm_post_dev,99.3417,nm,2025-10-24 06:53:00
306,376,5,etch_rate_nm_s,14.8137,nm/s,2025-10-24 07:23:00
307,376,5,cd_nm_post_etch,93.8204,nm,2025-10-24 07:23:00
308,376,6,residue_ppm,6.2881,ppm,2025-10-24 07:53:00
309,376,7,thickness_nm,302.6926,nm,2025-10-24 08:23:00
310,376,8,thickness_post_cmp_nm,276.928,nm,2025-10-24 08:53:00
311,376,9,cd_nm,99.7958,nm,2025-10-24 09:23:00
312,376,10,sheet_resistance_ohm_sq,24.9619,ohm/sq,2025-10-24 09:53:00
313,377,1,particle_count,8.7186,ct,2025-10-24 09:02:00
314,377,2,resist_thickness_nm,506.2132,nm,2025-10-24 09:32:00
315,377,3,cd_nm,100.5076,nm,2025-10-24 10:02:00
316,377,3,overlay_nm,0.0533,nm,2025-10-24 10:02:00
317,377,4,cd_nm_post_dev,97.7073,nm,2025-10-24 10:32:00
318,377,5,etch_rate_nm_s,14.842,nm/s,2025-10-24 11:02:00
319,377,5,cd_nm_post_etch,96.5624,nm,2025-10-24 11:02:00
320,377,6,residue_ppm,4.5907,ppm,2025-10-24 11:32:00
321,377,7,thickness_nm,299.3345,nm,2025-10-24 12:02:00
322,377,8,thickness_post_cmp_nm,274.9283,nm,2025-10-24 12:32:00
323,377,9,cd_nm,101.502,nm,2025-10-24 13:02:00
324,377,10,sheet_resistance_ohm_sq,26.9358,ohm/sq,2025-10-24 13:32:00
325,378,1,particle_count,13.7288,ct,2025-10-24 13:14:00
326,378,2,resist_thickness_nm,492.4267,nm,2025-10-24 13:44:00
327,378,3,cd_nm,100.255,nm,2025-10-24 14:14:00
328,378,3,overlay_nm,2.418,nm,2025-10-24 14:14:00
329,378,4,cd_nm_post_dev,99.7125,nm,2025-10-24 14:44:00
330,378,5,etch_rate_nm_s,15.6872,nm/s,2025-10-24 15:14:00
331,378,5,cd_nm_post_etch,96.616,nm,2025-10-24 15:14:00
332,378,6,residue_ppm,4.2681,ppm,2025-10-24 15:44:00
333,378,7,thickness_nm,298.1183,nm,2025-10-24 16:14:00
334,378,8,thickness_post_cmp_nm,282.7607,nm,2025-10-24 16:44:00
335,378,9,cd_nm,99.9653,nm,2025-10-24 17:14:00
336,378,10,sheet_resistance_ohm_sq,25.196,ohm/sq,2025-10-24 17:44:00
337,379,1,particle_count,10.1153,ct,2025-10-24 17:22:00
338,379,2,resist_thickness_nm,495.2809,nm,2025-10-24 17:52:00
339,379,3,cd_nm,99.6082,nm,2025-10-24 18:22:00
340,379,3,overlay_nm,-1.8986,nm,2025-10-24 18:22:00
341,379,4,cd_nm_post_dev,97.3354,nm,2025-10-24 18:52:00
342,379,5,etch_rate_nm_s,14.8941,nm/s,2025-10-24 19:22:00
343,379,5,cd_nm_post_etch,92.887,nm,2025-10-24 19:22:00
344,379,6,residue_ppm,3.4112,ppm,2025-10-24 19:52:00
345,379,7,thickness_nm,305.6911,nm,2025-10-24 20:22:00
346,379,8,thickness_post_cmp_nm,281.6997,nm,2025-10-24 20:52:00
347,379,9,cd_nm,99.98,nm,2025-10-24 21:22:00
348,379,10,sheet_resistance_ohm_sq,24.3101,ohm/sq,2025-10-24 21:52:00
349,380,1,particle_count,10.69,ct,2025-10-24 20:42:00
350,380,2,resist_thickness_nm,500.0156,nm,2025-10-24 21:12:00
351,380,3,cd_nm,99.0137,nm,2025-10-24 21:42:00
352,380,3,overlay_nm,1.9747,nm,2025-10-24 21:42:00
353,380,4,cd_nm_post_dev,98.5566,nm,2025-10-24 22:12:00
354,380,5,etch_rate_nm_s,15.1452,nm/s,2025-10-24 22:42:00
355,380,5,cd_nm_post_etch,96.0483,nm,2025-10-24 22:42:00
356,380,6,residue_ppm,5.2577,ppm,2025-10-24 23:12:00
357,380,7,thickness_nm,293.2445,nm,2025-10-24 23:42:00
358,380,8,thickness_post_cmp_nm,278.8499,nm,2025-10-25 00:12:00
359,380,9,cd_nm,99.7907,nm,2025-10-25 00:42:00
360,380,10,sheet_resistance_ohm_sq,24.8626,ohm/sq,2025-10-25 01:12:00
361,381,1,particle_count,8.53,ct,2025-10-25 01:24:00
362,381,2,resist_thickness_nm,489.1726,nm,2025-10-25 01:54:00
363,381,3,cd_nm,98.8348,nm,2025-10-25 02:24:00
364,381,3,overlay_nm,1.8629,nm,2025-10-25 02:24:00
365,381,4,cd_nm_post_dev,97.8629,nm,2025-10-25 02:54:00
366,381,5,etch_rate_nm_s,14.8315,nm/s,2025-10-25 03:24:00
367,381,5,cd_nm_post_etch,92.6965,nm,2025-10-25 03:24:00
368,381,6,residue_ppm,4.7757,ppm,2025-10-25 03:54:00
369,381,7,thickness_nm,303.4357,nm,2025-10-25 04:24:00
370,381,8,thickness_post_cmp_nm,280.0705,nm,2025-10-25 04:54:00
371,381,9,cd_nm,100.959,nm,2025-10-25 05:24:00
372,381,10,sheet_resistance_ohm_sq,21.2408,ohm/sq,2025-10-25 05:54:00
373,382,1,particle_count,9.0893,ct,2025-10-25 04:35:00
374,382,2,resist_thickness_nm,496.1169,nm,2025-10-25 05:05:00
375,382,3,cd_nm,98.5496,nm,2025-10-25 05:35:00
376,382,3,overlay_nm,-0.8336,nm,2025-10-25 05:35:00
377,382,4,cd_nm_post_dev,99.0373,nm,2025-10-25 06:05:00
378,382,5,etch_rate_nm_s,15.238,nm/s,2025-10-25 06:35:00
379,382,5,cd_nm_post_etch,95.7724,nm,2025-10-25 06:35:00
380,382,6,residue_ppm,5.2745,ppm,2025-10-25 07:05:00
381,382,7,thickness_nm,300.5526,nm,2025-10-25 07:35:00
